taxonID,scientificNameID,riverNumber,organismQuantity,scientificName
168d2337-ea4a-4303-b364-d2d905cd38ea,402658,163,6,Radix auricularia
53318470-7425-4b65-bf10-bc51d149d8be,315492,163,25,Tarebia granifera
53318470-7425-4b65-bf10-bc51d149d8be,315492,163,7,Tarebia granifera
168d2337-ea4a-4303-b364-d2d905cd38ea,402658,163,7,Radix auricularia
168d2337-ea4a-4303-b364-d2d905cd38ea,402658,163,3,Radix auricularia
53318470-7425-4b65-bf10-bc51d149d8be,315492,163,19,Tarebia granifera
53318470-7425-4b65-bf10-bc51d149d8be,315492,173,14,Tarebia granifera
53318470-7425-4b65-bf10-bc51d149d8be,315492,173,4,Tarebia granifera
53318470-7425-4b65-bf10-bc51d149d8be,315492,163,17,Tarebia granifera
19c0bd2b-6b0d-405c-b626-b9bbba006a0a,313634,0,3,Corbicula fluminea
79fa8a84-6c3d-405d-be36-341788aab5d3,313426,163,1,Modiolus metcalfei
168d2337-ea4a-4303-b364-d2d905cd38ea,402658,163,1,Radix auricularia
9149d82c-fbbb-4162-9d2c-6176991c29e9,315085,0,5,Pomacea canaliculata
53318470-7425-4b65-bf10-bc51d149d8be,315492,163,16,Tarebia granifera
53318470-7425-4b65-bf10-bc51d149d8be,315492,163,29,Tarebia granifera
19c0bd2b-6b0d-405c-b626-b9bbba006a0a,313634,151,1,Corbicula fluminea
19c0bd2b-6b0d-405c-b626-b9bbba006a0a,313634,163,2,Corbicula fluminea
168d2337-ea4a-4303-b364-d2d905cd38ea,402658,163,3,Radix auricularia
168d2337-ea4a-4303-b364-d2d905cd38ea,402658,163,3,Radix auricularia
168d2337-ea4a-4303-b364-d2d905cd38ea,402658,163,1,Radix auricularia
5fe2dfef-50fb-483a-bffc-5c408e8a0bb8,315095,173,3,Assiminea taiwanensis
d57f8f04-1b74-421c-8c85-fb1fa813f930,315489,173,2,Stenomelania plicaria
53318470-7425-4b65-bf10-bc51d149d8be,315492,163,29,Tarebia granifera
168d2337-ea4a-4303-b364-d2d905cd38ea,402658,163,4,Radix auricularia
53318470-7425-4b65-bf10-bc51d149d8be,315492,173,44,Tarebia granifera
6e2b5d78-0a89-49d7-ba73-8f14007ac762,402653,173,7,Sinotaia quadrata
168d2337-ea4a-4303-b364-d2d905cd38ea,402658,163,1,Radix auricularia
53318470-7425-4b65-bf10-bc51d149d8be,315492,163,15,Tarebia granifera
479b34c0-a0f1-41b7-a262-2da61387076b,402660,173,4,Gyraulus spirillus
168d2337-ea4a-4303-b364-d2d905cd38ea,402658,163,1,Radix auricularia
7f403e9a-5c9c-4b92-bab5-427409bcf83b,314548,0,4,Physa acuta
19c0bd2b-6b0d-405c-b626-b9bbba006a0a,313634,163,9,Corbicula fluminea
53318470-7425-4b65-bf10-bc51d149d8be,315492,163,27,Tarebia granifera
19c0bd2b-6b0d-405c-b626-b9bbba006a0a,313634,163,4,Corbicula fluminea
d7b46817-5e43-48a8-a6ff-2e9cb7db3f74,314546,173,6,Austropeplea ollula
9149d82c-fbbb-4162-9d2c-6176991c29e9,315085,163,4,Pomacea canaliculata
19c0bd2b-6b0d-405c-b626-b9bbba006a0a,313634,163,2,Corbicula fluminea
53318470-7425-4b65-bf10-bc51d149d8be,315492,163,6,Tarebia granifera
168d2337-ea4a-4303-b364-d2d905cd38ea,402658,163,7,Radix auricularia
46f27400-6128-4836-9755-8f598e671e2b,405299,163,1,Thiara scabra
79fa8a84-6c3d-405d-be36-341788aab5d3,313426,163,2,Modiolus metcalfei
168d2337-ea4a-4303-b364-d2d905cd38ea,402658,163,6,Radix auricularia
9149d82c-fbbb-4162-9d2c-6176991c29e9,315085,242,1,Pomacea canaliculata
168d2337-ea4a-4303-b364-d2d905cd38ea,402658,163,3,Radix auricularia
168d2337-ea4a-4303-b364-d2d905cd38ea,402658,163,3,Radix auricularia
53318470-7425-4b65-bf10-bc51d149d8be,315492,163,29,Tarebia granifera
168d2337-ea4a-4303-b364-d2d905cd38ea,402658,163,3,Radix auricularia
9149d82c-fbbb-4162-9d2c-6176991c29e9,315085,242,1,Pomacea canaliculata
53318470-7425-4b65-bf10-bc51d149d8be,315492,163,12,Tarebia granifera
53318470-7425-4b65-bf10-bc51d149d8be,315492,163,6,Tarebia granifera
9149d82c-fbbb-4162-9d2c-6176991c29e9,315085,163,2,Pomacea canaliculata
53318470-7425-4b65-bf10-bc51d149d8be,315492,163,2,Tarebia granifera
9149d82c-fbbb-4162-9d2c-6176991c29e9,315085,163,3,Pomacea canaliculata
